Experience,UG,Location,PG,Salary,Department,Role Category
7 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
12 - 14 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
6 - 11 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 3 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 6 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 7 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 7 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 7 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 7 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 6 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Sc in Chemistry,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Production/Industrial,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 9 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 9 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
6 - 9 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 8 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 3 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 6 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
8 - 13 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 7 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,Any Graduate,Bengaluru,"MCA in Computers, M.Tech in Any Specialization",Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 8 years,Any Graduate,Hyderabad,,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 7 years,B.Tech/B.E. in Any Specialization,Bengaluru,M.Tech in Any Specialization,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
7 - 12 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
10 - 14 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
8 - 12 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,,Bengaluru,,Not Disclosed,,
2 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 7 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 7 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
7 - 9 years,B.Tech/B.E. in Production/Industrial,Bengaluru,"Any Postgraduate, M.Tech in Electronics/Telecommunication, MCA in Computers",Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
6 - 11 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
8 - 13 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
8 - 13 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
10 - 15 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 3 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 3 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 6 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 4 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 4 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,"Any Graduate, B.Tech/B.E. in Any Specialization",Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 6 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
6 - 9 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
6 - 9 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
10 - 15 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
12 - 14 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 2 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 7 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 7 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 8 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 3 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
1 - 10 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 3 years,,"Bengaluru, Delhi / NCR",,Not Disclosed,,
3 - 6 years,Any Graduate,"Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 6 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 8 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
6 - 9 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,"B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization",Bengaluru,MCA in Any Specialization,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
10 - 14 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 7 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 6 years,B.Tech/B.E. in Production/Industrial,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
8 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 6 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 8 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
2 - 5 years,,Bengaluru,,Not Disclosed,,
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 6 years,,Bengaluru,,Not Disclosed,,
4 - 6 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
4 - 8 years,Any Graduate,"Mysuru, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,B.Tech/B.E. in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 6 years,B.Tech/B.E. in Any Specialization,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
5 - 10 years,"B.Tech/B.E. in Electronics/Telecommunication, Electrical and Electronics, Computers, Electrical",Bengaluru,,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
3 - 5 years,B.Tech/B.E. in Any Specialization,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
15 - 20 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
10 - 15 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Quality Assurance and Testing
